Soil_Type,Crop_Type,Rainfall_mm,Temperature_C,Soil_pH,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Sunlight_Hours_per_day,Farm_Size_ha,Irrigation,Crop_Yield_tonnes_per_ha
Clay,Cotton,1377.0,28.9,5.56,93.7,7.38,9.5,3.78,No,5.91
Clay,Barley,,21.3,,120.3,6.98,6.4,4.43,No,7.49
Peaty,Soybean,928.3,20.9,6.09,95.9,4.87,4.5,9.32,No,6.94
Silty,Soybean,767.2,20.2,6.21,183.4,4.72,6.1,4.36,Yes,8.54
Sandy,Barley,942.7,28.2,6.7,295.8,6.22,5.7,2.71,No,6.34
Silty,Maize,866.1,20.7,6.86,213.7,1.34,8.8,3.45,Yes,11.5
Clay,Barley,1243.0,25.7,6.86,0.0,6.43,8.1,,Yes,7.2
Loamy,Maize,945.1,25.2,5.52,180.8,2.32,8.2,744.1875638328816,Yes,11.9
Loamy,Wheat,947.9,26.6,7.38,188.2,3.09,10.2,3.23,Yes,9.54
Loamy,,1154.2,33.1,6.59,20.0,3.14,6.7,0.95,Yes,10.44
Peaty,Soybean,1126.2,21.8,6.13,104.7,3.52,6.9,2.55,No,7.04
Silty,Wheat,1073.9,20.1,7.26,158.2,8.84,5.9,5.0,No,7.51
Peaty,Soybean,878.7,24.3,5.6,111.8,7.34,,8.17,Yes,7.6
Sandy,Barley,367.7,22.2,6.17,187.2,3.06,9.2,,Yes,7.07
Silty,Cotton,958.0,,6.26,159.2,4.49,10.9,3.32,No,6.07
Silty,Maize,815.2,25.4,8.0,126.9,3.61,8.2,5.96,Yes,10.81
Peaty,Wheat,909.7,16.7,6.74,175.8,4.42,10.0,4.07,No,8.31
Peaty,Rice,815.4,26.3,,188.1,6.32,5.8,,Yes,9.11
Sandy,Maize,1237.7,21.1,6.86,181.1,3.49,7.9,,Yes,11.13
Clay,Cotton,914.5,26.3,6.96,108.0,1.91,7.8,3.51,Yes,7.17
Clay,Cotton,489.2,28.9,6.66,91.1,3.66,8.9,1.82,Yes,5.82
Peaty,Wheat,,32.1,7.55,139.2,4.71,6.9,1.63,No,6.02
Silty,Soybean,972.1,35.7,6.96,155.8,9.81,8.8,0.93,No,7.07
Sandy,Soybean,1165.3,27.2,7.14,63.6,5.48,6.1,2.44,Yes,6.6
Loamy,Wheat,862.3,23.1,7.65,179.1,4.45,10.8,4.06,No,8.95
Peaty,Maize,485.4,20.7,6.22,152.4,7.33,8.0,5.03,Yes,10.96
Peaty,Cotton,985.2,17.7,,223.1,7.08,9.5,1.28,Yes,7.67
Loamy,Cotton,843.6,19.0,4.77,213.1,8.51,8.3,12.43,No,6.19
Peaty,Barley,873.5,21.9,6.34,152.0,5.13,6.9,7.72,,8.19
Silty,Barley,1274.8,28.7,6.64,291.8,4.42,6.0,4.52,Yes,8.17
Loamy,Maize,679.3,23.7,5.87,153.2,7.92,7.3,2.88,Yes,11.21
Silty,Maize,701.5,16.7,7.47,139.9,4.54,11.9,2.5,No,10.14
Silty,Rice,1482.1,31.6,7.86,22.8,5.9,6.6,3.24,No,6.46
Loamy,Cotton,1013.7,21.1,6.4,69.2,4.86,7.2,6.66,No,7.21
Loamy,Maize,788.5,16.3,7.27,140.4,4.3,6.9,5.51,Yes,11.01
Silty,Maize,864.7,27.4,7.57,140.6,1.02,9.5,3.45,No,10.7
Clay,Soybean,866.9,23.8,6.62,156.8,9.16,9.4,1.9,No,7.97
Sandy,Cotton,551.1,27.4,8.73,61.8,2.28,7.2,47.85,No,4.27
Loamy,Wheat,1115.8,18.6,5.64,113.9,0.0,7.1,3.89,Yes,8.72
Silty,Rice,900.0,,7.23,162.5,7.28,6.7,4.06,Yes,9.78
Loamy,Barley,818.0,29.1,7.44,173.3,2.97,5.4,3.5,Yes,7.86
Loamy,,1382.9,33.7,,71.4,6.89,6.3,3.4,No,9.0
Silty,Maize,670.9,22.6,6.83,198.6,4.72,7.0,1.58,,11.17
Peaty,Barley,882.3,25.2,6.55,141.8,3.82,7.5,0.93,Yes,8.37
Loamy,,889.7,13.4,4.3,264.5,3.92,7.8,1.72,Yes,6.99
Peaty,Barley,,23.9,7.1,123.7,5.4,8.1,4.69,Yes,8.84
Sandy,Wheat,856.7,31.0,6.41,34.4,3.76,7.1,2.66,,6.88
Clay,Rice,928.6,25.2,7.2,175.8,1.89,7.7,1.21,Yes,9.38
Silty,,720.1,11.0,,203.7,7.33,10.1,0.67,No,6.65
Loamy,Barley,1009.8,27.1,7.52,230.9,2.28,7.4,3.81,Yes,8.42
Peaty,Rice,1027.0,28.8,6.42,236.3,1.7,7.1,4.45,No,7.9
Sandy,Wheat,964.4,16.8,7.65,148.7,5.24,5.2,4.22,No,7.34
Sandy,Rice,673.7,21.8,6.92,104.3,2.87,6.8,1.63,No,7.4
Clay,,986.8,22.7,6.37,238.0,3.94,7.8,2.02,No,6.91
Loamy,Barley,,20.0,4.7,100.7,6.69,6.8,1.03,Yes,7.04
Silty,Rice,1172.8,,7.5,160.6,4.93,7.9,1.1,Yes,9.11
Silty,Wheat,1071.5,27.5,6.87,101.0,4.62,7.1,19.39,Yes,8.37
Silty,Barley,1157.2,28.9,7.31,202.8,7.62,9.8,4.44,Yes,8.44
Clay,Cotton,1103.9,25.4,7.47,90.1,7.42,8.7,10.34,No,5.23
Clay,Rice,840.3,25.5,7.3,210.5,1.25,10.8,8.49,Yes,9.01
Sandy,Cotton,1165.0,18.1,6.45,220.1,7.2,6.1,5.12,No,4.59
Sandy,Soybean,791.5,24.7,7.12,107.4,2.92,6.5,7.21,Yes,7.89
Peaty,Cotton,740.1,16.4,7.7,206.1,2.0,8.0,0.98,Yes,6.25
Peaty,Rice,556.1,22.7,6.75,65.4,3.51,5.2,3.07,No,8.3
Loamy,Rice,1017.7,28.3,6.52,153.9,4.74,6.5,5.77,Yes,10.33
Silty,Wheat,721.7,26.2,6.88,135.2,5.99,6.2,4.12,Yes,8.57
Loamy,Soybean,929.2,23.8,6.62,108.9,4.89,10.7,16.93,Yes,8.49
Silty,Soybean,570.5,19.0,6.24,130.0,7.0,7.5,2.32,No,7.15
Clay,Soybean,963.1,19.8,4.88,148.0,0.0,5.7,1.81,No,5.78
Sandy,Barley,957.1,17.6,5.04,135.1,,6.6,0.74,Yes,7.25
Peaty,Barley,1117.8,22.0,6.92,182.1,,8.8,1.54,No,8.4
Clay,Barley,514.2,29.1,6.32,116.0,5.23,5.4,,No,6.82
Peaty,Wheat,829.7,36.3,6.78,123.9,6.52,7.6,3.65,No,6.29
Clay,Soybean,731.4,12.0,5.24,171.4,3.65,7.7,1.31,Yes,7.31
Sandy,Barley,1060.7,22.4,4.84,76.0,4.33,9.1,0.85,No,6.6
Sandy,Barley,861.2,21.6,6.4,210.9,4.36,6.1,1.76,Yes,7.15
Silty,Rice,942.2,23.8,6.55,182.1,2.66,7.6,2.97,No,8.76
Sandy,Maize,879.5,17.2,7.58,259.7,7.78,6.9,1.53,Yes,10.79
Sandy,Soybean,870.2,18.1,,3.1,5.7,6.5,1.35,No,6.25
Clay,Barley,708.7,19.5,5.08,132.1,2.93,8.0,3.78,Yes,7.89
Sandy,Maize,962.7,25.4,6.41,190.5,4.96,8.4,6.06,Yes,11.74
Sandy,Wheat,984.0,24.8,7.27,170.0,4.36,8.3,2.37,No,6.89
Silty,Barley,877.7,26.5,5.83,247.8,1.61,6.6,1.89,No,7.35
Loamy,Barley,1120.3,21.0,6.33,312.9,0.43,10.8,1.6,Yes,8.62
Loamy,Soybean,906.4,17.7,6.46,,9.18,6.4,7.11,No,8.55
Clay,Barley,1059.9,32.7,7.12,118.7,1.25,10.0,1.05,,7.78
Sandy,Cotton,950.0,24.3,8.03,,6.19,6.6,15.42,Yes,6.8
Sandy,Maize,1010.2,30.1,6.53,65.7,1.4,8.6,1.85,No,8.55
Loamy,Cotton,1143.5,,7.42,209.9,2.99,8.2,4.78,No,6.35
Clay,Wheat,1051.2,24.3,5.36,37.8,5.58,7.5,2.32,No,7.45
Sandy,Soybean,658.1,21.6,8.2,200.3,,8.4,9.64,Yes,6.54
Peaty,Barley,1220.0,25.8,6.03,234.2,6.3,8.3,4.43,Yes,7.87
Clay,Cotton,589.0,23.8,5.01,193.2,1.65,,,Yes,7.01
Loamy,Barley,712.2,23.8,5.81,78.0,5.96,5.5,7.51,No,8.75
Sandy,Barley,,16.0,6.29,137.2,6.52,7.4,3.14,,7.13
,Soybean,639.6,27.9,7.31,103.5,4.81,9.0,5.72,Yes,7.52
Clay,Soybean,1133.9,23.0,6.21,186.1,6.72,7.8,3.87,Yes,8.58
Silty,Maize,562.0,27.8,6.38,111.4,6.6,8.5,1.64,Yes,10.43
Peaty,Cotton,827.6,27.6,5.09,94.7,8.38,3.6,3.9,Yes,6.6
Silty,,1177.9,25.9,7.91,192.4,9.61,10.2,4.31,Yes,8.18
Loamy,Cotton,385.0,31.2,5.69,103.0,6.26,8.6,6.88,Yes,6.81
Clay,Wheat,1014.9,32.1,6.61,153.1,8.5,6.8,4.19,Yes,8.11
Silty,Rice,612.8,18.7,7.24,101.6,8.31,6.1,0.46,No,8.44
Clay,,695.3,28.1,8.68,117.3,8.0,6.9,2.46,Yes,6.8
Silty,Rice,657.3,23.3,6.99,198.3,,9.2,5.72,No,8.53
Sandy,Rice,1085.3,,6.88,35.6,2.45,8.3,5.89,Yes,8.49
Clay,Barley,689.9,19.8,4.2,112.8,5.96,8.6,1.23,No,6.43
Sandy,Soybean,988.3,24.5,4.74,234.6,2.99,7.7,3.3,Yes,6.76
Sandy,Rice,1093.2,24.1,6.59,18.4,4.05,9.2,1.14,Yes,8.71
Silty,Soybean,1122.1,25.0,7.01,173.3,0.95,9.0,4.27,No,7.98
Silty,Maize,1015.1,23.9,6.38,209.4,1.28,5.4,3.86,Yes,11.84
Peaty,Soybean,629.2,22.1,6.09,211.2,2.04,6.8,7.82,No,7.52
Clay,Maize,1012.6,32.6,6.87,57.8,6.29,7.8,1.59,Yes,10.04
Peaty,Barley,617.0,30.6,6.18,42.9,10.09,10.0,2.61,Yes,7.06
Peaty,Barley,690.6,25.0,8.02,159.3,3.1,6.5,2.09,No,6.41
,Rice,929.1,17.5,,175.9,5.35,7.7,8.67,No,8.74
Clay,Wheat,1185.9,25.2,5.41,150.4,7.1,8.0,3.14,No,7.53
Sandy,Soybean,1045.2,33.3,6.55,152.3,3.12,4.5,1.79,Yes,6.63
Peaty,Cotton,1147.5,27.7,5.79,,9.49,7.5,5.71,Yes,7.26
Sandy,Rice,739.6,28.6,7.08,191.8,5.39,6.5,0.91,Yes,8.74
Loamy,Rice,749.8,23.5,6.49,212.3,,5.6,10.32,Yes,10.26
Sandy,Maize,1338.6,24.5,6.19,180.7,6.1,7.0,3.81,No,10.24
Silty,Rice,907.8,,6.29,236.6,4.47,6.5,4.9,Yes,9.36
Clay,Barley,710.0,20.5,5.78,107.8,1.45,8.0,5.68,No,7.31
Clay,Wheat,858.6,22.3,5.53,9.2,4.52,7.4,2.45,No,6.98
Clay,Maize,530.1,29.7,6.56,157.5,6.15,8.1,1.24,No,9.69
Loamy,Barley,1008.8,13.3,6.66,110.0,5.3,8.6,5.51,No,7.72
Loamy,Maize,1099.2,19.3,7.11,185.4,7.82,6.0,3.12,No,10.84
Clay,Rice,833.7,26.0,6.08,16.0,5.67,8.7,2.25,Yes,8.51
Peaty,Cotton,1424.4,16.1,5.96,81.1,7.64,6.3,4.54,Yes,6.76
Silty,Wheat,589.3,27.7,7.28,183.4,,6.5,5.23,No,8.37
Loamy,Rice,649.7,27.2,6.47,118.6,7.87,6.2,760.932789960609,No,9.88
Silty,Wheat,397.1,29.7,5.95,262.2,3.75,6.2,3.74,Yes,8.22
Sandy,Wheat,842.6,22.5,,134.7,7.46,4.1,6.2,,7.98
Clay,Soybean,443.5,20.8,8.05,220.0,3.18,7.3,3.51,No,6.05
Clay,Wheat,1039.2,17.8,6.29,139.6,5.53,6.5,6.88,No,7.71
Silty,Rice,,24.2,6.55,131.6,1.3,6.6,3.16,No,9.37
Silty,Soybean,920.6,24.4,7.62,213.5,0.29,10.5,746.0999490297606,No,7.22
Clay,Rice,758.2,24.5,8.11,155.6,1.14,6.5,4.3,No,8.31
Silty,Wheat,812.1,12.6,7.27,150.8,,9.2,2.74,No,7.79
Clay,Rice,652.7,23.5,6.71,154.3,6.87,2.8,19.86,No,8.11
Clay,Soybean,1028.4,22.0,6.74,139.3,0.85,7.9,6.95,No,7.51
Silty,Barley,750.0,31.1,5.88,111.1,3.83,8.9,4.73,No,7.54
Clay,Barley,355.4,23.9,7.01,157.2,4.4,6.0,1.82,Yes,6.99
Silty,Rice,1183.3,24.0,6.66,219.1,4.52,8.8,1.81,Yes,10.36
Loamy,Maize,,27.1,4.91,13.2,3.99,4.9,18.06,Yes,10.28
Silty,Rice,525.1,13.6,6.11,37.7,9.35,11.2,6.74,No,7.91
Peaty,Soybean,765.8,23.2,,,3.99,8.7,3.81,No,8.07
Sandy,,,29.0,7.19,139.5,4.48,8.3,2.56,No,6.77
Clay,Cotton,1081.3,22.0,6.21,186.6,3.43,8.2,0.35,No,6.69
Silty,,611.3,28.9,7.97,113.6,0.92,8.7,,No,7.47
Clay,Soybean,446.5,27.0,5.17,76.1,5.91,6.9,9.87,No,6.91
Sandy,Cotton,983.9,,5.44,195.9,10.21,3.6,2.58,No,4.95
Silty,Maize,945.2,31.3,5.24,130.7,7.54,5.0,10.57,No,9.18
Peaty,Rice,821.7,27.2,5.15,206.3,0.53,8.6,4.65,Yes,9.69
Silty,Wheat,760.9,,6.64,188.6,,6.1,2.31,,7.24
Clay,Rice,1037.6,24.2,6.98,,6.88,6.1,0.57,No,8.12
Loamy,Rice,999.0,29.1,7.24,163.6,4.56,9.9,0.46,Yes,9.87
Silty,Rice,885.0,25.1,6.44,95.9,6.91,4.8,2.58,No,9.1
Silty,Soybean,411.7,24.7,6.27,166.7,1.84,7.2,15.91,No,7.69
Silty,Wheat,981.3,28.6,6.97,204.6,2.61,,,No,8.35
Loamy,Maize,1081.6,17.2,7.1,49.7,5.48,6.6,2.01,No,10.1
Peaty,Cotton,681.1,30.0,6.51,185.0,5.46,5.5,2.27,Yes,6.87
Sandy,Soybean,1318.7,,5.85,118.1,3.83,7.7,1.26,Yes,6.59
Clay,Maize,782.5,31.8,5.42,188.7,2.97,4.8,7.95,Yes,10.22
Peaty,Soybean,1036.1,19.2,5.58,110.2,4.44,5.4,3.56,Yes,7.38
,Maize,,22.2,6.75,148.2,0.0,6.0,2.77,No,10.15
Sandy,Barley,864.7,19.1,7.1,130.4,,9.5,,Yes,8.01
Sandy,Maize,548.4,17.7,5.37,161.7,5.02,8.2,2.98,Yes,10.3
Peaty,Soybean,1126.8,30.7,6.79,189.6,,5.4,2.55,No,6.95
Sandy,Soybean,1026.4,21.2,7.5,138.3,5.57,6.8,0.69,No,6.58
Clay,Soybean,846.7,26.5,6.98,149.5,5.7,6.4,7.94,Yes,7.86
Loamy,Maize,1055.4,18.9,6.34,80.7,3.56,8.0,12.7,Yes,11.36
Clay,Rice,771.1,28.8,7.29,222.3,,10.0,,Yes,9.14
Sandy,Barley,1067.7,24.5,6.7,251.3,6.58,4.3,2.29,Yes,7.22
Peaty,Soybean,976.6,13.5,7.22,208.4,,5.1,1.04,No,7.35
Loamy,Rice,1148.2,17.9,6.7,,3.23,5.7,1.85,Yes,9.52
Sandy,Cotton,895.3,23.8,,178.7,7.68,6.7,8.57,No,6.19
Silty,Barley,1091.5,24.1,7.25,155.0,4.73,8.1,1.84,Yes,8.79
Clay,Soybean,960.0,32.5,7.39,172.4,2.89,7.4,6.67,No,6.88
Peaty,Rice,1025.2,26.6,5.77,143.6,4.07,5.3,7.83,Yes,9.43
Loamy,Rice,1220.6,13.6,5.15,104.9,3.6,10.3,2.12,Yes,9.41
Sandy,Maize,1064.5,24.7,6.95,,4.13,7.5,1.66,Yes,10.72
Clay,Cotton,856.6,30.5,7.12,83.1,2.1,8.1,5.01,Yes,6.82
Loamy,Soybean,1324.5,18.9,8.37,127.3,4.01,8.9,3.54,No,6.76
Sandy,Soybean,862.6,21.8,7.15,134.8,0.68,9.7,3.16,No,7.1
Clay,Maize,1151.3,14.7,5.78,44.7,10.07,6.1,7.16,Yes,9.78
Peaty,Barley,629.8,28.7,7.21,,2.78,8.7,14.16,Yes,7.81
Clay,Barley,,27.4,7.09,148.3,5.12,10.4,,Yes,8.17
Clay,Soybean,1178.4,26.6,,170.2,0.31,6.7,4.45,Yes,8.17
Loamy,Wheat,1292.8,21.9,6.64,259.0,2.03,6.7,4.35,Yes,10.0
Clay,Wheat,672.7,26.7,6.87,138.3,3.44,3.7,1.81,No,7.14
Peaty,Wheat,1349.0,20.5,7.26,134.3,4.05,8.0,3.84,No,7.86
Clay,Barley,960.2,19.9,6.15,216.7,5.06,6.3,9.4,No,7.67
Silty,Wheat,949.6,25.7,8.06,100.4,1.39,6.9,7.42,Yes,8.06
Sandy,Cotton,,22.1,7.6,,7.77,7.4,1.34,No,4.62
Silty,Barley,1265.2,19.1,6.66,183.4,9.9,6.0,,Yes,8.73
Clay,Maize,687.3,16.2,5.51,139.8,6.34,8.8,4.93,Yes,9.96
Silty,Wheat,1245.9,25.9,7.52,84.8,4.57,6.8,5.78,Yes,7.58
Peaty,Soybean,615.2,26.1,7.78,130.5,7.6,8.0,1.01,,7.69
Silty,Maize,1030.0,30.4,6.84,148.3,5.73,9.2,3.71,No,10.81
Loamy,Wheat,822.3,20.5,6.68,72.6,4.93,5.1,0.85,Yes,8.23
Peaty,Wheat,1173.8,,7.36,150.4,2.32,5.7,9.99,Yes,8.21
Silty,Cotton,652.4,12.3,7.39,42.4,7.6,8.7,3.36,No,5.81
Silty,Soybean,692.5,21.0,6.3,0.0,5.56,9.9,2.04,No,6.74
Sandy,Rice,892.4,28.2,8.27,38.0,8.01,6.7,1.79,Yes,6.94
Loamy,Cotton,705.3,27.6,6.09,180.6,1.59,6.8,2.07,Yes,7.33
Sandy,Wheat,1381.6,32.9,7.36,283.2,6.21,7.7,6.44,No,6.67
Sandy,Wheat,597.9,28.5,5.44,111.8,11.83,8.8,1.8,No,6.72
Loamy,Barley,,19.5,6.04,109.8,1.0,5.8,1.34,Yes,8.2
Sandy,Soybean,951.4,29.4,6.72,285.4,7.84,8.5,1.65,,6.44
Peaty,Soybean,1141.4,23.1,6.67,107.2,6.58,7.7,1.85,Yes,7.74
,Cotton,1008.7,17.1,7.11,258.0,4.87,9.6,4.24,No,6.42
Silty,Barley,811.3,22.4,7.44,151.0,7.6,,9.07,No,7.71
Loamy,Barley,733.2,18.4,6.67,116.1,5.34,7.6,5.62,Yes,8.21
Sandy,Maize,1070.7,20.7,7.52,54.4,8.57,4.8,6.31,No,8.29
Peaty,Cotton,872.7,34.4,5.14,67.0,5.37,,5.87,Yes,5.83
,Cotton,1270.5,17.2,6.23,89.7,6.61,9.3,15.12,No,6.42
Loamy,Soybean,1184.9,20.1,6.51,144.9,6.92,7.6,1.74,No,7.29
Loamy,Maize,928.8,14.5,6.08,156.0,7.28,6.9,3.44,Yes,12.49
Sandy,Soybean,890.7,17.3,8.97,177.1,2.51,6.5,1.17,No,5.14
Peaty,Soybean,683.1,21.2,6.59,117.1,3.0,7.7,7.88,Yes,8.41
Loamy,Barley,890.7,29.7,,132.6,2.76,6.8,1.54,No,8.97
Sandy,Maize,598.0,27.4,5.65,,1.1,8.3,3.2,No,9.59
Clay,Wheat,1298.4,19.7,6.05,,5.12,6.8,11.02,Yes,8.42
Silty,Soybean,,25.2,6.07,182.3,2.21,10.8,18.24,Yes,8.36
Loamy,Maize,589.3,32.2,6.68,82.8,4.23,,1.04,No,10.52
Loamy,Cotton,1147.0,28.1,5.11,36.0,3.99,5.6,8.3,No,7.04
Loamy,Maize,1419.0,21.3,6.04,167.4,3.64,8.6,2.52,,12.5
Clay,Cotton,920.3,24.6,4.07,215.6,5.21,9.0,,No,4.63
,Rice,675.8,17.2,6.53,184.3,6.26,8.1,3.34,Yes,9.07
Sandy,Barley,923.7,23.8,5.4,182.7,6.66,7.6,7.82,No,8.06
Clay,Cotton,712.8,15.0,7.03,246.4,3.96,5.3,7.79,No,5.93
Loamy,Barley,766.3,27.2,6.56,173.7,5.62,6.8,4.67,No,9.42
Peaty,Rice,1367.4,25.2,6.81,130.1,5.07,7.5,3.2,No,9.12
Peaty,Rice,855.9,21.6,6.93,282.5,6.95,7.7,5.67,Yes,9.61
Loamy,Soybean,1118.2,17.9,5.62,149.9,8.3,6.5,3.68,,8.26
Sandy,Rice,1054.9,29.3,7.35,60.9,8.13,7.5,7.7,No,7.78
Clay,Wheat,890.1,15.6,7.42,119.1,7.28,9.2,0.89,No,7.43
Clay,Maize,1090.4,24.0,,237.8,0.36,8.7,3.36,No,10.53
Peaty,Wheat,991.7,,7.07,77.4,0.63,7.2,4.14,Yes,8.45
Loamy,Soybean,1088.9,30.2,6.37,195.6,4.26,6.2,12.93,Yes,8.66
Loamy,Soybean,717.9,,7.59,137.7,5.99,7.6,2.26,No,7.2
