Rainfall_mm,Temperature_C,Soil_pH,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Sunlight_Hours_per_day,Farm_Size_ha,Crop_Yield_tonnes_per_ha,Soil_Type_Loamy,Soil_Type_Peaty,Soil_Type_Sandy,Soil_Type_Silty,Crop_Type_Cotton,Crop_Type_Maize,Crop_Type_Rice,Crop_Type_Soybean,Crop_Type_Wheat,Irrigation_Yes
920.4,29.9,5.59,105.2,7.58,7.4,6.02,8.07,0,0,0,0,0,0,1,0,0,1
1177.9,17.3,8.37,126.1,1.78,8.7,2.61,9.64,0,0,0,1,0,1,0,0,0,0
566.6,24.76,7.31,108.1,10.77,5.6,6.42,9.43,0,0,1,0,0,1,0,0,0,1
724.8,20.2,6.97,105.5,1.82,7.8,3.61,7.74,1,0,0,0,1,0,0,0,0,1
770.2,24.2,5.71,81.6,7.75,5.9,6.13,6.97,0,1,0,0,1,0,0,0,0,1
985.4,25.5,8.09,104.2,4.66,6.7,7.25,5.81,0,0,0,0,1,0,0,0,0,0
665.9,24.6,6.7,96.7,4.53,9.4,2.91,6.96,0,0,0,1,0,0,0,1,0,1
764.2,22.3,6.18,185.92000000000002,3.54,6.4,5.09,6.75,1,0,0,0,1,0,0,0,0,0
712.0,31.0,6.67,133.3,5.39,7.3,4.16,10.01,0,0,0,1,0,1,0,0,0,0
1051.1,24.3,7.0,183.2,4.24,8.9,4.58,9.32,0,0,0,0,0,0,0,0,1,1
764.5,14.5,6.7,102.8,4.544,6.0,2.4,5.93,0,0,1,0,1,0,0,0,0,1
1169.6,25.9,5.56,67.9,5.85,4.4,1.61,9.86,1,0,0,0,0,1,0,0,0,1
832.4,26.5,6.81,160.5,3.18,8.3,4.15,9.19,1,0,0,0,0,0,0,0,0,1
1199.2,14.7,5.7,141.9,3.57,5.5,1.0,6.04,0,0,0,1,1,0,0,0,0,0
600.2,21.0,7.5,122.3,9.3,6.7,3.4,6.63,0,0,1,0,0,0,0,0,1,0
330.164,17.9,6.41,143.6,6.22,7.3,2.95,7.44,0,1,0,0,0,0,0,1,0,1
1488.4299999999998,25.1,6.72,181.1,5.77,6.0,3.42,6.16,0,1,0,0,1,0,0,0,0,1
828.6,25.6,6.97,78.7,7.04,5.6,1.88,7.21,0,0,0,0,0,0,1,0,0,0
423.7,28.0,6.03,196.4,2.19,7.0,1.48,7.06,0,0,0,0,0,0,0,1,0,1
1055.2,26.0,6.478,156.0,4.5,7.1,9.15,8.35,0,1,0,0,0,0,0,1,0,1
1097.3,13.9,6.33,54.3,3.38,11.0,18.1,9.51,0,1,0,0,0,0,1,0,0,1
812.0,26.5,6.0,140.7,6.95,9.6,2.81,10.88,0,0,0,0,0,1,0,0,0,1
936.4,22.1,6.14,265.7,7.42,9.3,0.42,8.62,0,0,0,0,0,0,1,0,0,0
1213.2,28.9,7.61,162.4,4.94,7.6,4.01,8.76,1,0,0,0,0,0,0,0,1,1
894.0,15.6,6.18,111.0,4.26,7.0,1.79,6.68,0,0,0,1,1,0,0,0,0,0
912.4,12.4,4.84,86.4,7.3,7.4,3.24,6.54,0,0,0,1,0,0,0,0,1,0
614.4,26.3,6.43,108.9,6.48,7.0,0.44,6.76,1,0,0,0,1,0,0,0,0,0
846.6,24.9,7.4,110.0,7.02,10.4,15.88,7.23,0,1,0,0,1,0,0,0,0,1
722.3,13.3,6.1,126.2,7.49,8.0,3.79,6.9,0,0,0,0,0,0,0,1,0,0
931.0,18.5,8.42,155.0,6.55,7.0,0.62,9.91,0,0,0,0,0,1,0,0,0,1
1138.5,15.5,6.22,218.4,3.97,5.0,4.29,7.96,0,1,0,0,0,0,1,0,0,0
848.1,20.0,5.88,182.48,8.11,8.6,0.63,9.77,1,0,0,0,0,0,0,0,1,1
844.1,26.5,7.44,111.6,6.18,7.8,4.14,7.74,0,0,1,0,0,0,0,0,1,1
1178.4,22.5,5.87,172.7,7.21,9.2,9.0,8.63,0,0,0,0,0,0,0,1,0,1
1270.6,20.0,5.29,206.3,3.28,6.2,4.21,7.46,0,0,0,1,0,0,0,1,0,1
330.164,15.3,6.18,98.1,3.73,10.7,9.54,9.35,0,0,0,1,0,0,1,0,0,1
1453.0,24.5,6.18,67.8,0.0,6.0,3.5480000000000005,9.07,0,0,0,1,0,0,1,0,0,1
1200.4,25.9,6.79,169.7,4.27,8.6,4.47,8.89,0,0,1,0,0,0,1,0,0,1
819.8,31.2,7.28,226.7,6.25,10.5,7.33,7.88,1,0,0,0,0,0,0,0,0,0
890.1,22.4,6.36,42.7,4.98,6.7,0.85,6.58,0,1,0,0,0,0,0,0,1,0
1030.0,21.7,6.36,80.0,1.85,10.0,21.04,7.44,0,1,0,0,1,0,0,0,0,1
1191.5,18.5,6.83,116.3,4.41,7.7,2.46,8.95,1,0,0,0,0,0,1,0,0,0
676.3,29.9,6.69,210.2,5.006,6.6,5.85,6.75,0,0,0,0,0,0,0,1,0,0
938.7,30.8,6.88,207.4,0.0,8.6,3.18,7.72,0,0,0,0,0,0,0,0,1,1
1168.2,27.3,7.26,202.9,0.0,7.3,2.97,9.52,0,0,0,1,0,1,0,0,0,0
993.1,27.9,7.18,94.3,7.64,7.8,2.62,6.88,0,0,0,0,0,0,0,0,0,0
1009.9,12.4,5.53,175.0,3.7880000000000003,7.3,10.04,7.57,1,0,0,0,0,0,0,0,0,0
752.5,26.2,8.42,113.9,7.72,9.8,2.6759999999999997,6.65,0,0,0,1,0,0,0,0,1,1
868.0,20.6,5.73,91.3,4.83,8.2,0.97,7.31,1,0,0,0,1,0,0,0,0,1
886.4,17.4,7.51,86.1,5.87,7.0,6.46,6.81,1,0,0,0,1,0,0,0,0,0
1014.5,19.8,6.79,166.8,6.68,5.1,2.11,8.56,0,0,0,0,0,0,0,0,1,1
330.164,25.1,6.09,188.6,4.61,8.5,2.22,5.71,0,0,0,0,0,0,0,0,0,0
1377.0,28.9,5.56,93.7,7.38,9.5,3.78,5.91,0,0,0,0,1,0,0,0,0,0
1102.2,21.3,6.234,120.3,6.98,6.4,4.43,7.49,0,0,0,0,0,0,0,0,0,0
928.3,20.9,6.09,95.9,4.87,4.5,9.32,6.94,0,1,0,0,0,0,0,1,0,0
767.2,20.2,6.21,183.4,4.72,6.1,4.36,8.54,0,0,0,1,0,0,0,1,0,1
942.7,28.2,6.7,286.7380000000001,6.22,5.7,2.71,6.34,0,0,1,0,0,0,0,0,0,0
866.1,20.7,6.86,213.7,1.34,8.8,3.45,11.5,0,0,0,1,0,1,0,0,0,1
1243.0,25.7,6.86,7.624000000000001,6.43,8.1,2.732,7.2,0,0,0,0,0,0,0,0,0,1
945.1,25.2,5.52,180.8,2.32,8.2,28.908999999999867,11.578600000000005,1,0,0,0,0,1,0,0,0,1
947.9,26.6,7.38,188.2,3.09,10.2,3.23,9.54,1,0,0,0,0,0,0,0,1,1
1126.2,21.8,6.13,104.7,3.52,6.9,2.55,7.04,0,1,0,0,0,0,0,1,0,0
1073.9,20.1,7.26,158.2,8.84,5.9,5.0,7.51,0,0,0,1,0,0,0,0,1,0
878.7,24.3,5.6,111.8,7.34,7.92,8.17,7.6,0,1,0,0,0,0,0,1,0,1
367.7,22.2,6.17,187.2,3.06,9.2,5.552,7.07,0,0,1,0,0,0,0,0,0,1
958.0,23.660000000000004,6.26,159.2,4.49,10.9,3.32,6.07,0,0,0,1,1,0,0,0,0,0
815.2,25.4,8.0,126.9,3.61,8.2,5.96,10.81,0,0,0,1,0,1,0,0,0,1
909.7,16.7,6.74,175.8,4.42,10.0,4.07,8.31,0,1,0,0,0,0,0,0,1,0
815.4,26.3,6.517999999999999,188.1,6.32,5.8,1.8039999999999998,9.11,0,1,0,0,0,0,1,0,0,1
1237.7,21.1,6.86,181.1,3.49,7.9,4.862,11.13,0,0,1,0,0,1,0,0,0,1
914.5,26.3,6.96,108.0,1.91,7.8,3.51,7.17,0,0,0,0,1,0,0,0,0,1
489.2,28.9,6.66,91.1,3.66,8.9,1.82,5.82,0,0,0,0,1,0,0,0,0,1
927.54,32.1,7.55,139.2,4.71,6.9,1.63,6.02,0,1,0,0,0,0,0,0,1,0
972.1,35.7,6.96,155.8,9.81,8.8,0.93,7.07,0,0,0,1,0,0,0,1,0,0
1165.3,27.2,7.14,63.6,5.48,6.1,2.44,6.6,0,0,1,0,0,0,0,1,0,1
862.3,23.1,7.65,179.1,4.45,10.8,4.06,8.95,1,0,0,0,0,0,0,0,1,0
485.4,20.7,6.22,152.4,7.33,8.0,5.03,10.96,0,1,0,0,0,1,0,0,0,1
985.2,17.7,7.353999999999999,223.1,7.08,9.5,1.28,7.67,0,1,0,0,1,0,0,0,0,1
843.6,19.0,4.77,213.1,8.51,8.3,12.43,6.19,1,0,0,0,1,0,0,0,0,0
1274.8,28.7,6.64,286.7380000000001,4.42,6.0,4.52,8.17,0,0,0,1,0,0,0,0,0,1
679.3,23.7,5.87,153.2,7.92,7.3,2.88,11.21,1,0,0,0,0,1,0,0,0,1
701.5,16.7,7.47,139.9,4.54,11.0,2.5,10.14,0,0,0,1,0,1,0,0,0,0
1482.1,31.6,7.86,22.8,5.9,6.6,3.24,6.46,0,0,0,1,0,0,1,0,0,0
1013.7,21.1,6.4,69.2,4.86,7.2,6.66,7.21,1,0,0,0,1,0,0,0,0,0
788.5,16.3,7.27,140.4,4.3,6.9,5.51,11.01,1,0,0,0,0,1,0,0,0,1
864.7,27.4,7.57,140.6,1.02,9.5,3.45,10.7,0,0,0,1,0,1,0,0,0,0
866.9,23.8,6.62,156.8,9.16,9.4,1.9,7.97,0,0,0,0,0,0,0,1,0,0
551.1,27.4,8.42,61.8,2.28,7.2,28.908999999999867,5.2514,0,0,1,0,1,0,0,0,0,0
1115.8,18.6,5.64,113.9,0.0,7.1,3.89,8.72,1,0,0,0,0,0,0,0,1,1
900.0,23.86,7.23,162.5,7.28,6.7,4.06,9.78,0,0,0,1,0,0,1,0,0,1
818.0,29.1,7.44,173.3,2.97,5.4,3.5,7.86,1,0,0,0,0,0,0,0,0,1
882.3,25.2,6.55,141.8,3.82,7.5,0.93,8.37,0,1,0,0,0,0,0,0,0,1
724.02,23.9,7.1,123.7,5.4,8.1,4.69,8.84,0,1,0,0,0,0,0,0,0,1
928.6,25.2,7.2,175.8,1.89,7.7,1.21,9.38,0,0,0,0,0,0,1,0,0,1
1009.8,27.1,7.52,230.9,2.28,7.4,3.81,8.42,1,0,0,0,0,0,0,0,0,1
1027.0,28.8,6.42,236.3,1.7,7.1,4.45,7.9,0,1,0,0,0,0,1,0,0,0
964.4,16.8,7.65,148.7,5.24,5.2,4.22,7.34,0,0,1,0,0,0,0,0,1,0
673.7,21.8,6.92,104.3,2.87,6.8,1.63,7.4,0,0,1,0,0,0,1,0,0,0
1022.82,20.0,4.7,100.7,6.69,6.8,1.03,7.04,1,0,0,0,0,0,0,0,0,1
1172.8,26.6,7.5,160.6,4.93,7.9,1.1,9.11,0,0,0,1,0,0,1,0,0,1
1071.5,27.5,6.87,101.0,4.62,7.1,19.39,8.37,0,0,0,1,0,0,0,0,1,1
1157.2,28.9,7.31,202.8,7.62,9.8,4.44,8.44,0,0,0,1,0,0,0,0,0,1
1103.9,25.4,7.47,90.1,7.42,8.7,10.34,5.2514,0,0,0,0,1,0,0,0,0,0
840.3,25.5,7.3,210.5,1.25,10.8,8.49,9.01,0,0,0,0,0,0,1,0,0,1
1165.0,18.1,6.45,220.1,7.2,6.1,5.12,5.2514,0,0,1,0,1,0,0,0,0,0
791.5,24.7,7.12,107.4,2.92,6.5,7.21,7.89,0,0,1,0,0,0,0,1,0,1
740.1,16.4,7.7,206.1,2.0,8.0,0.98,6.25,0,1,0,0,1,0,0,0,0,1
556.1,22.7,6.75,65.4,3.51,5.2,3.07,8.3,0,1,0,0,0,0,1,0,0,0
1017.7,28.3,6.52,153.9,4.74,6.5,5.77,10.33,1,0,0,0,0,0,1,0,0,1
721.7,26.2,6.88,135.2,5.99,6.2,4.12,8.57,0,0,0,1,0,0,0,0,1,1
929.2,23.8,6.62,108.9,4.89,10.7,16.93,8.49,1,0,0,0,0,0,0,1,0,1
570.5,19.0,6.24,130.0,7.0,7.5,2.32,7.15,0,0,0,1,0,0,0,1,0,0
963.1,19.8,4.88,148.0,0.0,5.7,1.81,5.78,0,0,0,0,0,0,0,1,0,0
957.1,17.6,5.04,135.1,4.122,6.6,0.74,7.25,0,0,1,0,0,0,0,0,0,1
1117.8,22.0,6.92,182.1,6.628,8.8,1.54,8.4,0,1,0,0,0,0,0,0,0,0
514.2,29.1,6.32,116.0,5.23,5.4,3.1799999999999997,6.82,0,0,0,0,0,0,0,0,0,0
829.7,35.9,6.78,123.9,6.52,7.6,3.65,6.29,0,1,0,0,0,0,0,0,1,0
731.4,12.4,5.24,171.4,3.65,7.7,1.31,7.31,0,0,0,0,0,0,0,1,0,1
1060.7,22.4,4.84,76.0,4.33,9.1,0.85,6.6,0,0,1,0,0,0,0,0,0,0
861.2,21.6,6.4,210.9,4.36,6.1,1.76,7.15,0,0,1,0,0,0,0,0,0,1
942.2,23.8,6.55,182.1,2.66,7.6,2.97,8.76,0,0,0,1,0,0,1,0,0,0
879.5,17.2,7.58,259.7,7.78,6.9,1.53,10.79,0,0,1,0,0,1,0,0,0,1
870.2,18.1,6.917999999999999,7.624000000000001,5.7,6.5,1.35,6.25,0,0,1,0,0,0,0,1,0,0
708.7,19.5,5.08,132.1,2.93,8.0,3.78,7.89,0,0,0,0,0,0,0,0,0,1
962.7,25.4,6.41,190.5,4.96,8.4,6.06,11.578600000000005,0,0,1,0,0,1,0,0,0,1
984.0,24.8,7.27,170.0,4.36,8.3,2.37,6.89,0,0,1,0,0,0,0,0,1,0
877.7,26.5,5.83,247.8,1.61,6.6,1.89,7.35,0,0,0,1,0,0,0,0,0,0
1120.3,21.0,6.33,286.7380000000001,0.43,10.8,1.6,8.62,1,0,0,0,0,0,0,0,0,1
906.4,17.7,6.46,177.66,9.18,6.4,7.11,8.55,1,0,0,0,0,0,0,1,0,0
950.0,24.3,8.03,143.82,6.19,6.6,15.42,6.8,0,0,1,0,1,0,0,0,0,1
1010.2,30.1,6.53,65.7,1.4,8.6,1.85,8.55,0,0,1,0,0,1,0,0,0,0
1143.5,22.9,7.42,209.9,2.99,8.2,4.78,6.35,1,0,0,0,1,0,0,0,0,0
1051.2,24.3,5.36,37.8,5.58,7.5,2.32,7.45,0,0,0,0,0,0,0,0,1,0
658.1,21.6,8.2,200.3,3.9239999999999995,8.4,9.64,6.54,0,0,1,0,0,0,0,1,0,1
1220.0,25.8,6.03,234.2,6.3,8.3,4.43,7.87,0,1,0,0,0,0,0,0,0,1
589.0,23.8,5.01,193.2,1.65,8.0,4.183999999999999,7.01,0,0,0,0,1,0,0,0,0,1
712.2,23.8,5.81,78.0,5.96,5.5,7.51,8.75,1,0,0,0,0,0,0,0,0,0
639.6,27.9,7.31,103.5,4.81,9.0,5.72,7.52,0,0,0,0,0,0,0,1,0,1
1133.9,23.0,6.21,186.1,6.72,7.8,3.87,8.58,0,0,0,0,0,0,0,1,0,1
562.0,27.8,6.38,111.4,6.6,8.5,1.64,10.43,0,0,0,1,0,1,0,0,0,1
827.6,27.6,5.09,94.7,8.38,4.0,3.9,6.6,0,1,0,0,1,0,0,0,0,1
385.0,31.2,5.69,103.0,6.26,8.6,6.88,6.81,1,0,0,0,1,0,0,0,0,1
1014.9,32.1,6.61,153.1,8.5,6.8,4.19,8.11,0,0,0,0,0,0,0,0,1,1
612.8,18.7,7.24,101.6,8.31,6.1,0.46,8.44,0,0,0,1,0,0,1,0,0,0
657.3,23.3,6.99,198.3,4.5,9.2,5.72,8.53,0,0,0,1,0,0,1,0,0,0
1085.3,25.580000000000002,6.88,35.6,2.45,8.3,5.89,8.49,0,0,1,0,0,0,1,0,0,1
689.9,19.8,4.59,112.8,5.96,8.6,1.23,6.43,0,0,0,0,0,0,0,0,0,0
988.3,24.5,4.74,234.6,2.99,7.7,3.3,6.76,0,0,1,0,0,0,0,1,0,1
1093.2,24.1,6.59,18.4,4.05,9.2,1.14,8.71,0,0,1,0,0,0,1,0,0,1
1122.1,25.0,7.01,173.3,0.95,9.0,4.27,7.98,0,0,0,1,0,0,0,1,0,0
1015.1,23.9,6.38,209.4,1.28,5.4,3.86,11.578600000000005,0,0,0,1,0,1,0,0,0,1
629.2,22.1,6.09,211.2,2.04,6.8,7.82,7.52,0,1,0,0,0,0,0,1,0,0
1012.6,32.6,6.87,57.8,6.29,7.8,1.59,10.04,0,0,0,0,0,1,0,0,0,1
617.0,30.6,6.18,42.9,10.09,10.0,2.61,7.06,0,1,0,0,0,0,0,0,0,1
690.6,25.0,8.02,159.3,3.1,6.5,2.09,6.41,0,1,0,0,0,0,0,0,0,0
929.1,17.5,6.9719999999999995,175.9,5.35,7.7,8.67,8.74,0,0,0,0,0,0,1,0,0,0
1185.9,25.2,5.41,150.4,7.1,8.0,3.14,7.53,0,0,0,0,0,0,0,0,1,0
1045.2,33.3,6.55,152.3,3.12,4.5,1.79,6.63,0,0,1,0,0,0,0,1,0,1
1147.5,27.7,5.79,113.69999999999997,9.49,7.5,5.71,7.26,0,1,0,0,1,0,0,0,0,1
739.6,28.6,7.08,191.8,5.39,6.5,0.91,8.74,0,0,1,0,0,0,1,0,0,1
749.8,23.5,6.49,212.3,4.906000000000001,5.6,10.32,10.26,1,0,0,0,0,0,1,0,0,1
1338.6,24.5,6.19,180.7,6.1,7.0,3.81,10.24,0,0,1,0,0,1,0,0,0,0
907.8,22.96,6.29,236.6,4.47,6.5,4.9,9.36,0,0,0,1,0,0,1,0,0,1
710.0,20.5,5.78,107.8,1.45,8.0,5.68,7.31,0,0,0,0,0,0,0,0,0,0
858.6,22.3,5.53,9.2,4.52,7.4,2.45,6.98,0,0,0,0,0,0,0,0,1,0
530.1,29.7,6.56,157.5,6.15,8.1,1.24,9.69,0,0,0,0,0,1,0,0,0,0
1008.8,13.3,6.66,110.0,5.3,8.6,5.51,7.72,1,0,0,0,0,0,0,0,0,0
1099.2,19.3,7.11,185.4,7.82,6.0,3.12,10.84,1,0,0,0,0,1,0,0,0,0
833.7,26.0,6.08,16.0,5.67,8.7,2.25,8.51,0,0,0,0,0,0,1,0,0,1
1424.4,16.1,5.96,81.1,7.64,6.3,4.54,6.76,0,1,0,0,1,0,0,0,0,1
589.3,27.7,7.28,183.4,2.628,6.5,5.23,8.37,0,0,0,1,0,0,0,0,1,0
649.7,27.2,6.47,118.6,7.87,6.2,28.908999999999867,9.88,1,0,0,0,0,0,1,0,0,0
397.1,29.7,5.95,262.2,3.75,6.2,3.74,8.22,0,0,0,1,0,0,0,0,1,1
443.5,20.8,8.05,220.0,3.18,7.3,3.51,6.05,0,0,0,0,0,0,0,1,0,0
1039.2,17.8,6.29,139.6,5.53,6.5,6.88,7.71,0,0,0,0,0,0,0,0,1,0
834.76,24.2,6.55,131.6,1.3,6.6,3.16,9.37,0,0,0,1,0,0,1,0,0,0
920.6,24.4,7.62,213.5,0.29,10.5,28.908999999999867,7.22,0,0,0,1,0,0,0,1,0,0
758.2,24.5,8.11,155.6,1.14,6.5,4.3,8.31,0,0,0,0,0,0,1,0,0,0
812.1,12.6,7.27,150.8,3.6020000000000003,9.2,2.74,7.79,0,0,0,1,0,0,0,0,1,0
652.7,23.5,6.71,154.3,6.87,4.0,19.86,8.11,0,0,0,0,0,0,1,0,0,0
1028.4,22.0,6.74,139.3,0.85,7.9,6.95,7.51,0,0,0,0,0,0,0,1,0,0
750.0,31.1,5.88,111.1,3.83,8.9,4.73,7.54,0,0,0,1,0,0,0,0,0,0
355.4,23.9,7.01,157.2,4.4,6.0,1.82,6.99,0,0,0,0,0,0,0,0,0,1
1183.3,24.0,6.66,219.1,4.52,8.8,1.81,10.36,0,0,0,1,0,0,1,0,0,1
775.24,27.1,4.91,13.2,3.99,4.9,18.06,10.28,1,0,0,0,0,1,0,0,0,1
525.1,13.6,6.11,37.7,9.35,11.0,6.74,7.91,0,0,0,1,0,0,1,0,0,0
765.8,23.2,6.340000000000001,146.92000000000002,3.99,8.7,3.81,8.07,0,1,0,0,0,0,0,1,0,0
1081.3,22.0,6.21,186.6,3.43,8.2,0.42,6.69,0,0,0,0,1,0,0,0,0,0
446.5,27.0,5.17,76.1,5.91,6.9,9.87,6.91,0,0,0,0,0,0,0,1,0,0
983.9,26.979999999999997,5.44,195.9,10.21,4.0,2.58,5.2514,0,0,1,0,1,0,0,0,0,0
945.2,31.3,5.24,130.7,7.54,5.0,10.57,9.18,0,0,0,1,0,1,0,0,0,0
821.7,27.2,5.15,206.3,0.53,8.6,4.65,9.69,0,1,0,0,0,0,1,0,0,1
1037.6,24.2,6.98,170.96,6.88,6.1,0.57,8.12,0,0,0,0,0,0,1,0,0,0
999.0,29.1,7.24,163.6,4.56,9.9,0.46,9.87,1,0,0,0,0,0,1,0,0,1
885.0,25.1,6.44,95.9,6.91,4.8,2.58,9.1,0,0,0,1,0,0,1,0,0,0
411.7,24.7,6.27,166.7,1.84,7.2,15.91,7.69,0,0,0,1,0,0,0,1,0,0
981.3,28.6,6.97,204.6,2.61,8.000000000000002,3.124,8.35,0,0,0,1,0,0,0,0,1,0
1081.6,17.2,7.1,49.7,5.48,6.6,2.01,10.1,1,0,0,0,0,1,0,0,0,0
681.1,30.0,6.51,185.0,5.46,5.5,2.27,6.87,0,1,0,0,1,0,0,0,0,1
1318.7,21.340000000000003,5.85,118.1,3.83,7.7,1.26,6.59,0,0,1,0,0,0,0,1,0,1
782.5,31.8,5.42,188.7,2.97,4.8,7.95,10.22,0,0,0,0,0,1,0,0,0,1
1036.1,19.2,5.58,110.2,4.44,5.4,3.56,7.38,0,1,0,0,0,0,0,1,0,1
1024.06,22.2,6.75,148.2,0.0,6.0,2.77,10.15,0,0,0,0,0,1,0,0,0,0
864.7,19.1,7.1,130.4,3.188,9.5,5.586,8.01,0,0,1,0,0,0,0,0,0,1
548.4,17.7,5.37,161.7,5.02,8.2,2.98,10.3,0,0,1,0,0,1,0,0,0,1
1126.8,30.7,6.79,189.6,5.33,5.4,2.55,6.95,0,1,0,0,0,0,0,1,0,0
1026.4,21.2,7.5,138.3,5.57,6.8,0.69,6.58,0,0,1,0,0,0,0,1,0,0
846.7,26.5,6.98,149.5,5.7,6.4,7.94,7.86,0,0,0,0,0,0,0,1,0,1
1055.4,18.9,6.34,80.7,3.56,8.0,12.7,11.36,1,0,0,0,0,1,0,0,0,1
771.1,28.8,7.29,222.3,3.7340000000000004,10.0,2.502,9.14,0,0,0,0,0,0,1,0,0,1
1067.7,24.5,6.7,251.3,6.58,4.3,2.29,7.22,0,0,1,0,0,0,0,0,0,1
976.6,13.5,7.22,208.4,4.534,5.1,1.04,7.35,0,1,0,0,0,0,0,1,0,0
1148.2,17.9,6.7,157.35999999999999,3.23,5.7,1.85,9.52,1,0,0,0,0,0,1,0,0,1
895.3,23.8,6.954000000000001,178.7,7.68,6.7,8.57,6.19,0,0,1,0,1,0,0,0,0,0
1091.5,24.1,7.25,155.0,4.73,8.1,1.84,8.79,0,0,0,1,0,0,0,0,0,1
960.0,32.5,7.39,172.4,2.89,7.4,6.67,6.88,0,0,0,0,0,0,0,1,0,0
1025.2,26.6,5.77,143.6,4.07,5.3,7.83,9.43,0,1,0,0,0,0,1,0,0,1
1220.6,13.6,5.15,104.9,3.6,10.3,2.12,9.41,1,0,0,0,0,0,1,0,0,1
1064.5,24.7,6.95,151.5,4.13,7.5,1.66,10.72,0,0,1,0,0,1,0,0,0,1
856.6,30.5,7.12,83.1,2.1,8.1,5.01,6.82,0,0,0,0,1,0,0,0,0,1
1324.5,18.9,8.37,127.3,4.01,8.9,3.54,6.76,1,0,0,0,0,0,0,1,0,0
862.6,21.8,7.15,134.8,0.68,9.7,3.16,7.1,0,0,1,0,0,0,0,1,0,0
1151.3,14.7,5.78,44.7,10.07,6.1,7.16,9.78,0,0,0,0,0,1,0,0,0,1
629.8,28.7,7.21,106.31999999999998,2.78,8.7,14.16,7.81,0,1,0,0,0,0,0,0,0,1
857.04,27.4,7.09,148.3,5.12,10.4,3.1420000000000003,8.17,0,0,0,0,0,0,0,0,0,1
1178.4,26.6,6.83,170.2,0.31,6.7,4.45,8.17,0,0,0,0,0,0,0,1,0,1
1292.8,21.9,6.64,259.0,2.03,6.7,4.35,10.0,1,0,0,0,0,0,0,0,1,1
672.7,26.7,6.87,138.3,3.44,4.0,1.81,7.14,0,0,0,0,0,0,0,0,1,0
1349.0,20.5,7.26,134.3,4.05,8.0,3.84,7.86,0,1,0,0,0,0,0,0,1,0
960.2,19.9,6.15,216.7,5.06,6.3,9.4,7.67,0,0,0,0,0,0,0,0,0,0
949.6,25.7,8.06,100.4,1.39,6.9,7.42,8.06,0,0,0,1,0,0,0,0,1,1
781.72,22.1,7.6,174.04000000000002,7.77,7.4,1.34,5.2514,0,0,1,0,1,0,0,0,0,0
1265.2,19.1,6.66,183.4,9.9,6.0,2.508,8.73,0,0,0,1,0,0,0,0,0,1
687.3,16.2,5.51,139.8,6.34,8.8,4.93,9.96,0,0,0,0,0,1,0,0,0,1
1245.9,25.9,7.52,84.8,4.57,6.8,5.78,7.58,0,0,0,1,0,0,0,0,1,1
1030.0,30.4,6.84,148.3,5.73,9.2,3.71,10.81,0,0,0,1,0,1,0,0,0,0
822.3,20.5,6.68,72.6,4.93,5.1,0.85,8.23,1,0,0,0,0,0,0,0,1,1
